Area,City,NPS,NPS Label,Ambience And Atmosphere,Curriculum and Activities,Visit Booking Process,Environment And Facilities,Information and Experience,Questions,Nutritious Meals,Value For Money,Survey Response Date [GMT],Responded Week Starting on [GMT],Survey Sent Date [GMT],Start Date,NPS Feedback Categories,Improvement Feedback Categories,Response Month (YYYY-MM),Response Year (YYYY),Response Quarter (YYYY-Q#),Workflow Status,Last Modified Date,Division
23,Launceston,9,Promoter,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,21/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,04/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,None,,Green
5,Caloundra,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,06/05/2022 0:00,"""Curriculum & Programs""",,2022-05,2022,2022-Q2,Pending,21/05/2022 20:49,Red
21,Dandenong,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,21/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,09/05/2022 0:00,"""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,26/05/2022 11:12,Orange
16,Campbelltown,8,Neutral,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,21/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,09/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,23/05/2022 8:46,Green
19,Leopold,8,Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,21/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,06/05/2022 0:00,"""Campus Directors & Educators""",,2022-05,2022,2022-Q2,Closed,25/05/2022 14:44,Green
15,Corinda,8,Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Campus Directors & Educators""",,2022-05,2022,2022-Q2,Closed,26/05/2022 7:36,Green
1,Worragee,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,23/05/2022 8:03,Yellow
2,Newcastle,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Communication"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,27/05/2022 8:59,Purple
1,Ballarat,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,17/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Enrolment Process"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,23/05/2022 10:50,Yellow
1,Bendigo,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""","""Food & Nutrition""",2022-05,2022,2022-Q2,Closed,22/05/2022 12:10,Yellow
5,Bunbury,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Cleanliness & Hygiene""",,2022-05,2022,2022-Q2,Closed,23/05/2022 6:36,Green
17,Bundaberg,0,Detractor,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Environment & Facilities""","""Cleanliness & Hygiene""",2022-05,2022,2022-Q2,Pending,21/05/2022 20:49,Green
23,Wagga Wagga,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,11/05/2022 0:00,"""Communication"",""Environment & Facilities""",,2022-05,2022,2022-Q2,In Progress,26/05/2022 13:47,Green
4,Melton,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,12/05/2022 0:00,"""Enrolment Process""",,2022-05,2022,2022-Q2,Closed,26/05/2022 16:40,Purple
12,Hervey Bay,9,Promoter,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,21/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",,2022-05,2022,2022-Q2,None,,Blue
24,Pakenham,9,Promoter,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,20/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,30/05/2022 7:18,Purple
10,Port Macquarie,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Food & Nutrition""",,2022-05,2022,2022-Q2,Closed,26/05/2022 9:25,Blue
15,Dubbo,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,17/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Curriculum & Programs"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,23/05/2022 10:58,Green
20,Orange,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,24/05/2022 10:16,Purple
11,Frankston,8,Neutral,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""App & Child Updates"",""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,None,,Blue
17,Sunbury,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,17/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Threat of Leaving""",,2022-05,2022,2022-Q2,Closed,26/05/2022 9:54,Green
20,Bathurst,5,Detractor,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Curriculum & Programs"",""Fees""",,2022-05,2022,2022-Q2,Closed,23/05/2022 16:58,Purple
2,Gladstone,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,16/05/2022 0:00,"""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,27/05/2022 9:05,Red
14,Mildura,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Campus Directors & Educators""",,2022-05,2022,2022-Q2,Closed,23/05/2022 7:52,Green
6,Southport,9,Promoter,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Curriculum & Programs""","""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Curriculum & Programs"",""Environment & Facilities"",""Food & Nutrition"",""Head Office Interactions""",2022-05,2022,2022-Q2,Closed,24/05/2022 11:13,Green
9,Geraldton,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,18/05/2022 0:00,"""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,26/05/2022 11:08,Blue
23,Shepparton,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,20/05/2022 0:00,16/05/2022 0:00,20/05/2022 0:00,19/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,20/05/2022 20:49,Green
14,Mildura,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,19/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,12/05/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities"",""Threat of Leaving""",,2022-05,2022,2022-Q2,Closed,20/05/2022 10:34,Green
14,Kalgoorlie,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,19/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,19/05/2022 6:24,Green
18,Warrnambool,8,Neutral,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,19/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,12/05/2022 0:00,"""Curriculum & Programs""",,2022-05,2022,2022-Q2,None,,Green
22,Albany,7,Neutral,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,19/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,20/05/2022 12:07,Green
14,Mildura,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,19/05/2022 0:00,16/05/2022 0:00,04/05/2022 0:00,29/04/2022 0:00,"""Cleanliness & Hygiene"",""Communication"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,20/05/2022 10:34,Green
5,Bunbury,4,Detractor,2. Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,18/05/2022 0:00,16/05/2022 0:00,04/05/2022 0:00,29/04/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""","""Campus Directors & Educators"",""Head Office Interactions""",2022-05,2022,2022-Q2,Pending,18/05/2022 20:49,Red
8,Quakers Hill,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,19/05/2022 10:36,Blue
8,Burnie,8,Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,12/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,19/05/2022 10:14,Blue
14,Caboolture,10,Promoter,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators""",,2022-05,2022,2022-Q2,Closed,24/05/2022 9:00,Green
9,Geraldton,9,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,17/05/2022 0:00,"""Threat of Leaving""",,2022-05,2022,2022-Q2,None,,Blue
20,Coffs Harbour,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,12/05/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,18/05/2022 20:50,Purple
2,Mount Gambier,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,19/05/2022 10:33,Red
2,Traralgon,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,17/05/2022 0:00,"""Campus Directors & Educators"",""Head Office Interactions""",,2022-05,2022,2022-Q2,Closed,19/05/2022 8:49,Purple
2,Busselton,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,18/05/2022 20:50,Red
9,Armidale,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,12/05/2022 0:00,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Closed,19/05/2022 11:22,Blue
15,Gold Coast,3,Detractor,4. Agree,2. Disagree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,Closed,19/05/2022 6:17,Green
13,Alice Springs,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators""",,2022-05,2022,2022-Q2,Closed,19/05/2022 10:41,Green
10,Devonport,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""",,2022-05,2022,2022-Q2,Pending,18/05/2022 20:49,Blue
2,Goulburn,10,Promoter,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,13/05/2022 0:00,"""Enrolment Process"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Closed,19/05/2022 8:45,Red
15,Whyalla,8,Neutral,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,18/05/2022 0:00,16/05/2022 0:00,18/05/2022 0:00,16/05/2022 0:00,"""Cleanliness & Hygiene"",""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,None,,Green
18,Kwinana,6,Detractor,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,4. Agree,4. Agree,3. Neither Agree nor Disagree,17/05/2022 0:00,16/05/2022 0:00,13/05/2022 0:00,12/05/2022 0:00,"""Campus Directors & Educators"",""Curriculum & Programs""","""Curriculum & Programs"",""Environment & Facilities""",2022-05,2022,2022-Q2,Pending,17/05/2022 20:48,Green
17,Mount Eliza,10,Promoter,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,17/05/2022 0:00,16/05/2022 0:00,11/05/2022 0:00,04/05/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""",,2022-05,2022,2022-Q2,Pending,17/05/2022 20:48,Green
12,Griffith,8,Neutral,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,17/05/2022 0:00,16/05/2022 0:00,13/05/2022 0:00,11/05/2022 0:00,"""Campus Directors & Educators"",""Environment & Facilities""","""Campus Directors & Educators""",2022-05,2022,2022-Q2,None,,Blue
