,Area,City,NPS,NPS Label,Ambience And Atmosphere,Curriculum and Activities,Visit Booking Process,Environment And Facilities,Information and Experience,Questions,Nutritious Meals,Value For Money,Survey Response Date [GMT],Responded Week Starting on [GMT],Survey Sent Date [GMT],Start Date,NPS Feedback Categories,Improvement Feedback Categories,Response Month (YYYY-MM),Response Year (YYYY),Response Quarter (YYYY-Q#),Workflow Status,Last Modified Date,Division,Response_Week
17,6,Toowoomba,8,Neutral,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,2022-05-21,2022-05-16,2022-05-11,2022-05-06,"""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,Closed,2022-05-26 10:37:00,Red,2022-20
18,23,Launceston,9,Promoter,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2022-05-21,2022-05-16,2022-05-11,2022-05-04,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,None,,Green,2022-20
19,5,Caloundra,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-21,2022-05-16,2022-05-11,2022-05-06,"""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-21 20:49:00,Red,2022-20
20,21,Dandenong,10,Promoter,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,2022-05-21,2022-05-16,2022-05-11,2022-05-09,"""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-26 11:12:00,Orange,2022-20
21,16,Campbelltown,8,Neutral,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2022-05-21,2022-05-16,2022-05-11,2022-05-09,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-23 08:46:00,Green,2022-20
22,19,Leopold,8,Neutral,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-21,2022-05-16,2022-05-11,2022-05-06,"""Campus Directors & Educators""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-25 14:44:00,Green,2022-20
23,15,Corinda,8,Neutral,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2022-05-21,2022-05-16,2022-05-18,2022-05-13,"""Campus Directors & Educators""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-26 07:36:00,Green,2022-20
24,1,Worragee,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2022-05-21,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-23 08:03:00,Yellow,2022-20
25,2,Newcastle,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-21,2022-05-16,2022-05-18,2022-05-16,"""Communication"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-27 08:59:00,Purple,2022-20
26,1,Ballarat,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2022-05-21,2022-05-16,2022-05-18,2022-05-17,"""Campus Directors & Educators"",""Curriculum & Programs"",""Enrolment Process"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-23 10:50:00,Yellow,2022-20
27,1,Bendigo,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-21,2022-05-16,2022-05-18,2022-05-13,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""","""Food & Nutrition""",2022-05,2022,2022-Q2,Closed,2022-05-22 12:10:00,Yellow,2022-20
28,5,Bunbury,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-21,2022-05-16,2022-05-18,2022-05-13,"""Cleanliness & Hygiene""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-23 06:36:00,Green,2022-20
29,17,Bundaberg,0,Detractor,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2022-05-21,2022-05-16,2022-05-18,2022-05-16,"""Environment & Facilities""","""Cleanliness & Hygiene""",2022-05,2022,2022-Q2,Pending,2022-05-21 20:49:00,Green,2022-20
30,23,Wagga Wagga,10,Promoter,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2022-05-21,2022-05-16,2022-05-18,2022-05-11,"""Communication"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,In Progress,2022-05-26 13:47:00,Green,2022-20
31,4,Melton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2022-05-21,2022-05-16,2022-05-18,2022-05-12,"""Enrolment Process""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-26 16:40:00,Purple,2022-20
32,12,Hervey Bay,9,Promoter,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,2022-05-21,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,None,,Blue,2022-20
33,24,Pakenham,9,Promoter,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2022-05-20,2022-05-16,2022-05-18,2022-05-16,"""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-30 07:18:00,Purple,2022-20
34,10,Port Macquarie,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-20,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Food & Nutrition""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-26 09:25:00,Blue,2022-20
35,15,Dubbo,10,Promoter,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2022-05-20,2022-05-16,2022-05-20,2022-05-17,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-23 10:58:00,Green,2022-20
36,20,Orange,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2022-05-20,2022-05-16,2022-05-20,2022-05-18,"""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-24 10:16:00,Purple,2022-20
37,11,Frankston,8,Neutral,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2022-05-20,2022-05-16,2022-05-20,2022-05-18,"""App & Child Updates"",""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,None,,Blue,2022-20
38,17,Sunbury,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-20,2022-05-16,2022-05-20,2022-05-17,"""Campus Directors & Educators"",""Curriculum & Programs"",""Threat Of Leaving""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-26 09:54:00,Green,2022-20
39,20,Bathurst,5,Detractor,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2022-05-20,2022-05-16,2022-05-20,2022-05-18,"""Curriculum & Programs"",""Fees""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-23 16:58:00,Purple,2022-20
40,2,Gladstone,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-20,2022-05-16,2022-05-20,2022-05-16,"""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-27 09:05:00,Red,2022-20
41,14,Mildura,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-20,2022-05-16,2022-05-20,2022-05-18,"""Campus Directors & Educators""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-23 07:52:00,Green,2022-20
42,6,Southport,9,Promoter,5.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,2022-05-20,2022-05-16,2022-05-20,2022-05-18,"""Curriculum & Programs""","""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Curriculum & Programs"",""Environment & Facilities"",""Food & Nutrition"",""Head Office Interactions""",2022-05,2022,2022-Q2,Closed,2022-05-24 11:13:00,Green,2022-20
43,9,Geraldton,10,Promoter,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2022-05-20,2022-05-16,2022-05-20,2022-05-18,"""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-26 11:08:00,Blue,2022-20
44,23,Shepparton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-20,2022-05-16,2022-05-20,2022-05-19,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-20 20:49:00,Green,2022-20
45,14,Mildura,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-19,2022-05-16,2022-05-18,2022-05-12,"""Campus Directors & Educators"",""Environment & Facilities"",""Threat Of Leaving""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-20 10:34:00,Green,2022-20
46,14,Kalgoorlie,10,Promoter,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2022-05-19,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-19 06:24:00,Green,2022-20
47,18,Warrnambool,8,Neutral,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2022-05-19,2022-05-16,2022-05-18,2022-05-12,"""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,None,,Green,2022-20
48,22,Albany,7,Neutral,5.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,2022-05-19,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators"",""Communication"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-20 12:07:00,Green,2022-20
49,14,Mildura,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-19,2022-05-16,2022-05-04,2022-04-29,"""Cleanliness & Hygiene"",""Communication"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-20 10:34:00,Green,2022-20
50,5,Bunbury,4,Detractor,2.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2022-05-18,2022-05-16,2022-05-04,2022-04-29,"""Campus Directors & Educators"",""Environment & Facilities""","""Campus Directors & Educators"",""Head Office Interactions""",2022-05,2022,2022-Q2,Pending,2022-05-18 20:49:00,Red,2022-20
51,8,Quakers Hill,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-18,2022-05-16,2022-05-18,2022-05-13,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 10:36:00,Blue,2022-20
52,8,Burnie,8,Neutral,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-18,2022-05-16,2022-05-18,2022-05-12,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 10:14:00,Blue,2022-20
53,14,Caboolture,10,Promoter,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,2022-05-18,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-24 09:00:00,Green,2022-20
54,9,Geraldton,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-18,2022-05-16,2022-05-18,2022-05-17,"""Threat Of Leaving""",Nan,2022-05,2022,2022-Q2,None,,Blue,2022-20
55,20,Coffs Harbour,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-18,2022-05-16,2022-05-18,2022-05-12,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-18 20:50:00,Purple,2022-20
56,2,Mount Gambier,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-18,2022-05-16,2022-05-18,2022-05-13,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 10:33:00,Red,2022-20
57,2,Traralgon,10,Promoter,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2022-05-18,2022-05-16,2022-05-18,2022-05-17,"""Campus Directors & Educators"",""Head Office Interactions""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 08:49:00,Purple,2022-20
58,2,Busselton,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-18,2022-05-16,2022-05-18,2022-05-13,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-18 20:50:00,Red,2022-20
59,9,Armidale,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2022-05-18,2022-05-16,2022-05-18,2022-05-12,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 11:22:00,Blue,2022-20
60,15,Gold Coast,3,Detractor,4.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,2022-05-18,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,Closed,2022-05-19 06:17:00,Green,2022-20
61,13,Alice Springs,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2022-05-18,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 10:41:00,Green,2022-20
62,10,Devonport,10,Promoter,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2022-05-18,2022-05-16,2022-05-18,2022-05-16,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-18 20:49:00,Blue,2022-20
63,2,Goulburn,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-18,2022-05-16,2022-05-18,2022-05-13,"""Enrolment Process"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 08:45:00,Red,2022-20
64,15,Whyalla,8,Neutral,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2022-05-18,2022-05-16,2022-05-18,2022-05-16,"""Cleanliness & Hygiene"",""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,None,,Green,2022-20
65,18,Kwinana,6,Detractor,4.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2022-05-17,2022-05-16,2022-05-13,2022-05-12,"""Campus Directors & Educators"",""Curriculum & Programs""","""Curriculum & Programs"",""Environment & Facilities""",2022-05,2022,2022-Q2,Pending,2022-05-17 20:48:00,Green,2022-20
66,17,Mount Eliza,10,Promoter,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,2022-05-17,2022-05-16,2022-05-11,2022-05-04,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-17 20:48:00,Green,2022-20
67,12,Griffith,8,Neutral,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,2022-05-17,2022-05-16,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Environment & Facilities""","""Campus Directors & Educators""",2022-05,2022,2022-Q2,None,,Blue,2022-20
68,4,Melbourne,8,Neutral,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,2022-05-17,2022-05-16,2022-05-13,2022-05-11,"""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 14:47:00,Red,2022-20
69,2,Wodonga,9,Promoter,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,2022-05-16,2022-05-16,2022-05-13,2022-05-10,"""Communication"",""Environment & Facilities"",""Fees""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-17 15:14:00,Red,2022-20
70,9,Narangba,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2022-05-16,2022-05-16,2022-05-13,2022-05-06,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-16 20:47:00,Blue,2022-20
71,18,Wangaratta,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-16,2022-05-16,2022-05-13,2022-05-11,"""Enrolment Process""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-16 20:47:00,Green,2022-20
72,16,Broken Hill,6,Detractor,4.0,2.0,5.0,3.0,4.0,5.0,3.0,2.0,2022-05-16,2022-05-16,2022-05-13,2022-05-11,"""Curriculum & Programs"",""Environment & Facilities""","""Environment & Facilities""",2022-05,2022,2022-Q2,Closed,2022-05-25 14:10:00,Green,2022-20
73,24,Taree,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-16,2022-05-16,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Communication"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-27 04:34:00,Purple,2022-20
74,16,Campbelltown,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-16,2022-05-16,2022-05-13,2022-05-10,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities"",""Threat Of Leaving""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-17 09:35:00,Green,2022-20
75,11,Banora Point,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2022-05-16,2022-05-16,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Communication"",""Environment & Facilities""","""Food & Nutrition""",2022-05,2022,2022-Q2,None,,Purple,2022-20
76,18,Wangaratta,8,Neutral,5.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,2022-05-16,2022-05-16,2022-05-13,2022-05-10,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,None,,Purple,2022-20
77,10,Nerang,8,Neutral,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-16,2022-05-16,2022-05-13,2022-05-09,"""App & Child Updates"",""Communication"",""Curriculum & Programs"",""Head Office Interactions""",Nan,2022-05,2022,2022-Q2,None,,Blue,2022-20
78,14,Mildura,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2022-05-16,2022-05-16,2022-05-13,2022-05-10,"""Campus Directors & Educators"",""Threat Of Leaving""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 19:02:00,Green,2022-20
79,24,Lara,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2022-05-16,2022-05-16,2022-05-13,2022-05-10,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-17 10:34:00,Purple,2022-20
80,12,Cessnock,5,Detractor,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,2022-05-16,2022-05-16,2022-05-04,2022-04-29,"""Curriculum & Programs""","""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Food & Nutrition""",2022-05,2022,2022-Q2,Pending,2022-05-17 06:24:00,Blue,2022-20
81,24,Warragul,8,Neutral,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,2022-05-16,2022-05-16,2022-05-04,2022-04-28,"""Campus Directors & Educators"",""Curriculum & Programs"",""Environment & Facilities"",""Head Office Interactions""",Nan,2022-05,2022,2022-Q2,None,,Purple,2022-20
82,25,Karratha,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-16,2022-05-16,2022-05-11,2022-05-05,"""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-17 10:26:00,Orange,2022-20
83,16,Maryborough,9,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-15,2022-05-09,2022-05-04,2022-04-28,"""Campus Directors & Educators"",""Cleanliness & Hygiene"",""Curriculum & Programs"",""Food & Nutrition""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-16 09:39:00,Green,2022-19
84,2,Ulladulla,8,Neutral,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2022-05-15,2022-05-09,2022-05-11,2022-05-09,"""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,None,,Red,2022-19
85,9,Armidale,8,Neutral,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2022-05-15,2022-05-09,2022-05-13,2022-05-11,"""Cleanliness & Hygiene"",""Curriculum & Programs"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,None,,Blue,2022-19
86,10,Murray Bridge,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-14,2022-05-09,2022-05-13,2022-05-11,"""Campus Directors & Educators"",""Curriculum & Programs""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-16 11:33:00,Blue,2022-19
87,3,Ulverstone,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-14,2022-05-09,2022-05-11,2022-05-06,"""Campus Directors & Educators""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-19 14:51:00,Red,2022-19
88,22,Barwon Heads,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-14,2022-05-09,2022-05-11,2022-05-06,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Pending,2022-05-14 20:49:00,Green,2022-19
89,14,Horsham,10,Promoter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022-05-14,2022-05-09,2022-05-11,2022-05-06,"""Campus Directors & Educators"",""Environment & Facilities""",Nan,2022-05,2022,2022-Q2,Closed,2022-05-31 14:30:00,Green,2022-19
